name_zh_CN,name_ja_JP,name_en_US,player_family,native_roles,viable_classes_for_single_requirement,enabled_playthroughs_union,candidate_keys,candidate_rows,costs,candidate_count,family_rule
一反木棉,一反木綿,Flying Bolt,O,0,1;2,1;2;3;4;5,0x000A1E6C,361,1.5,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
一目连,一目連,Ichimokuren,O,1,1;2,1;2;3;4;5,0x0006DE91,292,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
乌鸦天狗,烏天狗,Karasu Tengu,O,1,1;2,1;2;3;4;5,0x0003D18B;0x000ED0D6,331;482,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
亡骸武者,骸武者,Skeleton Warrior,O,0;1;2,1;2,1;2;3;4;5,0x00028204;0x0003B38C;0x0005040C;0x00056793;0x0006A2C9;0x000892BB;0x0008BC99;0x000BCC5B;0x000CB09A;0x000CD93B;0x000E3769;0x000ED6B1,310;311;312;313;314;315;316;317;318;319;320;321,1;2,12,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
人鱼,人魚,Mermaid,O,1,1;2,1;2;3;4;5,0x000C18A9,280,1.5,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
以津真天,以津真天,Itsumade,O,1,1;2,1;2;3;4;5,0x00031F5A;0x00069D5B,355;484,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
冰柱女,つらら女,Tsurara-onna,O,1,1;2,1;2;3;4;5,0x0007F476,304,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
叛军浪士,反乱軍浪士,Rebel Ronin,O,0;1;2;3,1;2,1;2;3;4;5,0x00006354;0x00009A4B;0x0000BBA9;0x00013234;0x00017C40;0x0001E160;0x0002298C;0x00033200;0x0004CEE0;0x0004D32A;0x0004F957;0x000562F0;0x00059ABC;0x0005F336;0x00062DB2;0x00064CE7;0x00067DD2;0x00089477;0x00089E82;0x0008CB62;0x0008F61C;0x00097017;0x000A2213;0x000AA721;0x000AC4C4;0x000B2BEA;0x000BFCD8;0x000C2B8E;0x000CC558;0x000D2EDC;0x000DEB5D;0x000EEC01,87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118,1;2,32,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
古笼火,古籠火,Koroka,O,1,1;2,1;2;3;4;5,0x0006C300;0x0008BC34,359;485,1.5,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
地狱蜂,地獄蜂,Crucible Wasp,O,0,1;2,1;2;3;4;5,0x00041F70;0x00053CC1;0x000D6D7F,277;278;279,1,3,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
垢尝,垢嘗,Akaname,O,0,1;2,1;2;3;4;5,0x00056F1F,303,1,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
外道兵,外道兵,Aberrant Soldier,O,0;2,1;2,1;2;3;4;5,0x000087F5;0x0002C560;0x0002DF3B;0x0002E19A;0x0004A551;0x0004A640;0x0005410A;0x00054F6F;0x00068029;0x0006AD14;0x0007BD90;0x000AE8E8;0x000BD464;0x000C05A4;0x000D61F1;0x000DE7CB;0x000E0650;0x000F3526,370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387,1.5,18,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
夜叉,夜叉,Yasha,O,1,1;2,1;2;3;4;5,0x00088F10,369,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
夜行兵,夜行兵,Yagyo Soldier,O,1,1;2,1;2;3;4;5,0x0002D571;0x0003EFC9;0x000545A1;0x000ACB89,271;272;273;480,2;3,4,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
妖蟹,化け蟹,Bakegani,O,0;1;2;3,1;2,1;2;3;4;5,0x00001AB5;0x000061EB;0x0000CB88;0x0003B1B8;0x0004CF03;0x00073BAB;0x000A8833;0x000C3FF5,335;336;337;338;339;340;341;342,1;3,8,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
妖鬼,妖鬼,Yoki,O,1,1;2,1;2;3;4;5,0x0002E05C;0x000F3EB0,305;306,3,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
姑获鸟,姑獲鳥,Ubume,O,1,1;2,1;2;3;4;5,0x00068CA6,360,2,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
子泣爷爷,子泣き爺,Konaki-Jiji,O,1,1;2,1;2;3;4;5,0x000EE98E,356,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
小海坊主,小海坊主,Lesser Umi-bozu,O,0,1;2,1;2;3;4;5,0x0001B70C;0x000ECDB4,329;330,1.5,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
山姥,山姥,Yamanba,O,1,1;2,1;2;3;4;5,0x000D2B55,357,1.5,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
山彦,やまびこ,Yamabiko,O,0;2,1;2,1;2;3;4;5,0x000481B0;0x000DEE24,274;275,1.5,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
山狗,山狗,Yamainu,O,1,1;2,1;2;3;4;5,0x000643F5,267,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
幕府兵,幕府兵士,Shogunate Soldier,O,0;1;2;3,1;2,1;2;3;4;5,0x00000A49;0x0001E927;0x0002F4E8;0x0003D866;0x0004030D;0x00042335;0x000567D9;0x0006673E;0x0007B7FD;0x0007FE51;0x00084550;0x0009C127;0x000AF0CB;0x000B17EF;0x000B28B2;0x000B444D;0x000C784C;0x000CD008;0x000DEC05;0x000E4C3D;0x000E9105;0x000E937E,16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,1;2,22,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
幽鬼,幽鬼,Grudge Spirit,O,0,1;2,1;2;3;4;5,0x00077FDE,301,0.5,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
忍者,忍者,Ninja,O,0,1;2,1;2;3;4;5,0x00002EEE;0x000293AD;0x000376AB;0x0004D880;0x0008146A;0x0009DD3B;0x000E3778;0x000E88CF,156;157;158;159;160;161;162;163,1.5,8,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
忍者妖鬼,忍者妖鬼,Ninja Yoki,O,1;3,1;2,1;2;3;4;5,0x0005DB6E;0x000816E0;0x00091E1A,307;308;309,3,3,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
撒沙婆婆,砂かけ婆,Sunakake-baba,O,1,1;2,1;2;3;4;5,0x000AA34F,276,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
敷次郎,敷次郎,Dweller,O,0;1;2,1;2,1;2;3;4;5,0x00062699;0x00082783;0x000E2E6D,322;323;324,1;2,3,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
新选组队士,新選組隊士,Shinsengumi Member,O,0;1;2;3,1;2,1;2;3;4;5,0x0000A4C3;0x0001367D;0x00017D62;0x0001F5CD;0x000274AF;0x0002953C;0x00051150;0x0005B9BD;0x000769D2;0x00080174;0x00091E01;0x000987EF;0x000C3309;0x000F203D;0x000F281F,38;39;40;41;42;43;44;45;46;47;48;49;50;51;52,1;2,15,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
旗本武士,旗本,Vassal,O,0;1;2;3,1;2,1;2;3;4;5,0x00003A9B;0x00004143;0x000062BB;0x0000971F;0x000178D1;0x00026F2B;0x00028658;0x00029202;0x00038869;0x0003B29F;0x0004D493;0x00056DC1;0x00058EF8;0x00079974;0x000968CC;0x000A4267;0x000AE324;0x000B3B92;0x000BA5BA;0x000CBA8B;0x000E2398;0x000F3DCB,53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74,1;2,22,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
朱盆,朱の盆,Shunobon,O,0;2,1;2,1;2;3;4;5,0x000300B8;0x00053347;0x0005E52D;0x00060E01;0x00097AD6;0x000A697F;0x000DF255;0x000E0BB4,284;285;286;287;288;289;290;291,1,8,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
棘饿鬼,茨餓鬼,Thorned Gaki,O,0;2,1;2,1;2;3;4;5,0x000144D6;0x0002CD16;0x00099C30;0x000BF939,296;297;298;299,1;1.5,4,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
武田士兵,武田兵士,Takeda Soldier,O,0;1;2;3,1;2,1;2;3;4;5,0x000010A6;0x0000645D;0x0000659C;0x0000ABB5;0x00014916;0x000157E8;0x00015F4F;0x00025080;0x0002ADEE;0x0004027F;0x00045389;0x00046086;0x0004CD69;0x0004E9BB;0x000538F8;0x0005A605;0x0005DEAF;0x00067405;0x00068DB9;0x00068E9D;0x0006EA62;0x00078067;0x00081C1A;0x00083666;0x00093457;0x00094B8D;0x000B1078;0x000B2C5F;0x000C1AB4;0x000CB4AC;0x000D5745;0x000E566E;0x000E69D7;0x000E9919;0x000ECE6E;0x000EF0A6;0x000F1629,194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230,1;2,37,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
河童,河童,Kappa,O,0;1,1;2,1;2;3;4;5,0x0002F535;0x00046F7D,471;472,1.5,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
油伞妖,唐傘お化け,Karakasa Umbrella,O,0,1;2,1;2;3;4;5,0x0000665C;0x0006B55E,362;363,1.5,2,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
濡女,濡れ女,Nure-onna,O,1,1;2,1;2;3;4;5,0x000D5AE8,343,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
炼金术师,錬金術師,Alchemist,O,0;1;3,1;2,1;2;3;4;5,0x00001806;0x0000F8CD;0x00031286;0x0005DDE9;0x0006CC44;0x000AECC1;0x000C2ED1;0x000CA99B;0x000D7523;0x000DFA7D;0x000E45F1;0x000E9611,75;76;77;78;79;80;81;82;83;84;85;86,1;2,12,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
狂骨,狂骨,Kyokotsu,O,1,1;2,1;2;3;4;5,0x00083085,302,3,1,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
独眼小僧,一つ目小僧,One-eyed Imp,O,0,1;2,1;2;3;4;5,0x00001E3E;0x00056628;0x000573CF;0x0009FA05,345;346;347;348,2,4,"Structurally available to classes 1 and 2. It can coexist with other O requirements, or with at most one requirement assigned to B in class 1."
