row_index,lookup_key,name_zh_CN,name_ja_JP,name_en_US,role,class_paths,cost,cost_float32_bits,scratch_rule_key,terrain_mask,playthrough_mask,enabled_playthroughs,linked_group,selector,terrain_discriminator,raw_row_hex
0,0x0007F4E0,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,2.0,0x40000000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,00000000E0F40700FFFFFFFF000000400A94FFFF00001F00010000D8
1,0x0002B2FE,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,15000000FEB20200FFFFFFFF0000803F436BFFFF00001F00010000D8
2,0x00049FE8,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,28000000E89F0400FFFFFFFF0000803F43C9FFFF00001F00010000D8
3,0x0005EFD6,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,3A000000D6EF0500FFFFFFFF0000803FB0B5FFFF00001F00010000D8
4,0x00018995,邪马台国兵,邪馬台国兵士,Yamatai Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,4E00000095890100FFFFFFFF0000803F5AEBFFFF00001F00010002D8
5,0x0008A965,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,6800000065A90800FFFFFFFF0000803FFA2EFFFF00001F00010000D8
6,0x0006A31C,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,7E0000001CA30600FFFFFFFF0000803FD389FFFF00001F00010000D8
7,0x00096602,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,9200000002660900FFFFFFFF0000803F88B0FFFF00001F00010000D8
8,0x00057799,邪马台国兵,邪馬台国兵士,Yamatai Soldier,0,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,A500000099770500FFFFFFFF0000803F4E0AFFFF00001F00010000D8
9,0x00018153,邪马台国兵,邪馬台国兵士,Yamatai Soldier,2,class1:ordinary;class2:ordinary,1.0,0x3F800000,0xFFFF,0x0000,0x1F,1;2;3;4;5,1,0,216,BA00000053810100FFFFFFFF0000803F6BFFFFFF00001F00010002D8
