name_zh_CN,name_ja_JP,name_en_US,availability,localization_lookup_keys
三味长老,三味長老,Shami-choro,not_in_native_scroll_candidate_table,0x000193E0;0x000CBD68
丛云,叢雲,Murakumo,not_in_native_scroll_candidate_table,0x00032C34;0x000391C7;0x00061572;0x00071047
中根正照,中根正照,Nakane Masateru,not_in_native_scroll_candidate_table,0x000059A2
井伊直虎,井伊直虎,Ii Naotora,not_in_native_scroll_candidate_table,0x000ED0AE
凤,鳳,Ho,not_in_native_scroll_candidate_table,0x00018D7E
凤凰,鳳凰,Ho-oh,not_in_native_scroll_candidate_table,0x00093BCA;0x000CAAB1
凰,凰,Oh,not_in_native_scroll_candidate_table,0x00065136;0x000E4337
刚拳外法师,剛拳の外法師,Iron-Fisted Rogue,not_in_native_scroll_candidate_table,0x000BCB9B
刻耳柏洛斯,ケルベロス,Cerberus,not_in_native_scroll_candidate_table,0x0001ADFD
千千古,千々古,Chijiko,not_in_native_scroll_candidate_table,0x00077202;0x0008BBB0
卑弥呼,卑弥呼,Himiko,not_in_native_scroll_candidate_table,0x000C1F31;0x000CC0BD
善擦,すねこすり,Scampuss,not_in_native_scroll_candidate_table,0x0000F389;0x0001CAD4;0x0002C211;0x00037570;0x0004A5C9;0x0005CAAE;0x00065F34;0x00069D9E;0x00070843;0x00077796;0x00079D35;0x0007FCB2;0x00083C55;0x0008E4E7;0x00092A81;0x000A67E0;0x000BA825;0x000BFF6D;0x000CC577;0x000D0B5F;0x000E6165
喽啰A,雑魚A,Enemy A,not_in_native_scroll_candidate_table,0x00000B0E;0x000043F5;0x00004485;0x0000E9B2;0x0000E9EE;0x00011BEE;0x000243CC;0x0002B711;0x00032A95;0x0003C3D6;0x000447FB;0x000454A7;0x0005348E;0x0005455D;0x00055ED2;0x0005C63C;0x00060648;0x000664AD;0x00066822;0x0006856E;0x0006B8DA;0x0006E39E;0x0007C533;0x0008ACF0;0x0008C2E0;0x000902AA;0x00096C9D;0x0009F258;0x000A14A1;0x000A30B4;0x000AAD98;0x000AC3A6;0x000AD80E;0x000B01D2;0x000B28A0;0x000B4473;0x000C1FC3;0x000C4EF0;0x000CB4B9;0x000D4531;0x000E1F5E;0x000E32A7
大冈源三郎,大岡源三郎,Ooka Genzaburo,not_in_native_scroll_candidate_table,0x0003DDDF;0x000561A0
